author_id,display_name,name_variants,prof_id_if_faculty,is_faculty
augenblick_ned_01,Ned Augenblick,Ned Augenblick,,false
august_x_01,August,August,,false
austensmith_x_01,Austen-Smith,Austen-Smith,,false
austin_benjamina_01,Benjamin A. Austin,Benjamin A. Austin|Benjamin Austin,,false
auton_adam_01,Adam Auton,Adam Auton,,false
autor_davidh_01,David H. Autor,D. Autor|David Autor|David H. Autor,mit_autor_david_h,true
avery_christopher_01,Christopher Avery,Christopher Avery,,false
avery_withchristopher_02,with Christopher Avery,with Christopher Avery,,false
avilova_tatyana_01,Tatyana Avilova,T. Avilova|Tatyana Avilova,,false
avorn_jerry_01,Jerry Avorn,Jerry Avorn,,false
azar_pablod_01,Pablo D. Azar,Pablo D. Azar,,false
azari_juliar_01,Julia R. Azari,Julia R. Azari,,false
azevedo_eduardo_01,Eduardo Azevedo,Eduardo Azevedo,,false
azoulay_pierre_01,Pierre Azoulay,Pierre Azoulay,,false
azurdia_gilda_01,Gilda Azurdia,Gilda Azurdia,,false
babaioff_moshe_01,Moshe Babaioff,Moshe Babaioff,,false
babcock_linda_01,Linda Babcock,Linda Babcock,,false
babina_tania_01,Tania Babina,Tania Babina,,false
bacchetta_philippe_01,Philippe Bacchetta,P. Bacchetta|Philippe Bacchetta,,false
bach_philipp_01,Philipp Bach,P. Bach|Philipp Bach,,false
bacherhicks_andrew_01,Andrew Bacher-Hicks,Andrew Bacher-Hicks,,false
bachmann_ruediger_01,Ruediger Bachmann,Ruediger Bachmann,,false
badarinza_cristian_01,Cristian Badarinza,Cristian Badarinza,,false
bade_sophie_01,Sophie Bade,Sophie Bade,,false
bai_chongen_01,Chong-En Bai,Chong-En Bai,,false
bai_jushan_02,Jushan Bai,Jushan Bai,,false
bai_withjie_03,with Jie Bai,with Jie Bai,,false
baicker_katherine_01,Katherine Baicker,K. Baicker|Katherine Baicker,,false
bailey_mike_01,Mike Bailey,Mike Bailey,,false
baily_martinn_01,Martin N. Baily,Martin N. Baily,,false
bajari_p_01,P. Bajari,P. Bajari,,false
baker_83118withmichael_01,83-118 (with Michael Baker,83-118 (with Michael Baker,,false
baker_g_02,G. Baker,G. Baker,,false
baker_malcolm_03,Malcolm Baker,Malcolm Baker,,false
baker_malcom_04,Malcom Baker,Malcom Baker,,false
baker_olesya_05,Olesya Baker,Olesya Baker,,false
baker_p99154withmichael_06,p. 99-154 (with Michael Baker,p. 99-154 (with Michael Baker,,false
balan_pablo_01,Pablo Balán,Pablo Balán,,false
balas_aron_01,Aron Balas,Aron Balas,,false
balasubramaniam_vimal_01,Vimal Balasubramaniam,Vimal Balasubramaniam,,false
balboni_withclare_01,with Clare Balboni,with Clare Balboni,,false
baldiga_katherine_01,Katherine Baldiga,Katherine Baldiga,,false
baliga_sandeep_01,Sandeep Baliga,Baliga|Sandeep Baliga,,false
ball_ian_01,Ian Ball,Ian Ball,mit_ball_ian,true
ball_laurence_02,Laurence Ball,Laurence Ball,,false
ball_lm_03,LM Ball,LM Ball,,false
ballen_john_01,John Ballen,John Ballen,,false
baltimore_politicalchallenges_01,Political Challenges.  Baltimore,Political Challenges.  Baltimore,,false
bamberg_fabian_01,Fabian Bamberg,Fabian Bamberg,,false
bandiera_oriana_01,Oriana Bandiera,Oriana Bandiera,,false
bandyopadhyay_d_01,D. Bandyopadhyay,D. Bandyopadhyay,,false
banerjee_abhijitv_02,Abhijit V. Banerjee,Abhijit Banerjee|Abhijit V. Banerjee|Banerjee,mit_banerjee_abhijit,true
banerjee_oishi_03,Oishi Banerjee,Oishi Banerjee,,false
banerjee_withabhijit_01,(with Abhijit Banerjee,(with Abhijit Banerjee,,false
banerjee_withabhijit_04,with Abhijit Banerjee,with Abhijit Banerjee|with Abhijit Banerjee,,false
banerji_rukmini_01,Rukmini Banerji,Rukmini Banerji,,false
banker_s_01,S. Banker,S. Banker,,false
bann_david_01,David Bann,David Bann,,false
banternghansa_withchanont_01,with Chanont Banternghansa,with Chanont Banternghansa,,false
bao_yanchun_01,Yanchun Bao,Yanchun Bao,,false
baqaee_david_01,David Baqaee,David Baqaee,,false
barahona_nano_01,Nano Barahona,Nano Barahona,,false
barbeiro_omar_01,Omar Barbeiro,Omar Barbeiro,,false
barberis_nicholas_01,Nicholas Barberis,Nicholas Barberis,,false
barbieri_felipe_01,Felipe Barbieri,Felipe Barbieri,,false
barbiero_omar_01,Omar Barbiero,Omar Barbiero,,false
bardhan_p_01,P. Bardhan,Bardhan|P. Bardhan,,false
bardoczy_bence_01,Bence Bard\'oczy,Bence Bard\'oczy,,false
bargaining_electioneffectsin_01,"Election Effects in Bargaining""","Election Effects in Bargaining""",,false
barndorffneilsen_ole_01,Ole Barndorff-Neilsen,Ole Barndorff-Neilsen,,false
barndorffnielsen_olee_01,Ole E. Barndorff-Nielsen,Ole E. Barndorff-Nielsen,,false
barnhard_harvey_01,Harvey Barnhard,Harvey Barnhard,,false
barnhardt_sharon_01,Sharon Barnhardt,Sharon Barnhardt,,false
barr_davidg_01,David G. Barr,David G. Barr,,false
barr_michaels_02,Michael S. Barr,Michael S. Barr,,false
barrage_coeditedbylint_01,co-edited by Lint Barrage,co-edited by Lint Barrage,,false
barrage_lint_02,Lint Barrage,Lint Barrage,,false
barreraosorio_felipe_01,Felipe Barrera-Osorio,Felipe Barrera-Osorio,,false
barrett_scott_01,Scott Barrett,S. Barrett|Scott Barrett,,false
barrios_thomas_01,Thomas Barrios,Thomas Barrios,,false
barro_jason_01,Jason Barro,J.R. Barro|Jason Barro,,false
barro_robert_02,Robert Barro,Robert Barro,harvard_barro_robert,true
barron_daniel_01,Daniel Barron,D. Barron|Daniel Barron,,false
barron_withpatrick_02,with Patrick Barron.,with Patrick Barron.,,false
barsky_robert_01,Robert Barsky,Robert Barsky,,false
bartel_anne_01,Anne Bartel,Ann Bartel|Anne Bartel,,false
bartelme_d_01,D. Bartelme,D. Bartelme,,false
bartelsmanand_e_01,E. Bartelsmanand,E. Bartelsmanand,,false
barth_erling_01,Erling Barth,E. Barth|Erling Barth,,false
barwick_jointwithpanlejia_01,(Joint with Panle Jia Barwick,(Joint with Panle Jia Barwick,,false
barwick_panlejia_02,Panle Jia Barwick,Panle Jia Barwick,,false
basch_peter_01,Peter Basch,Peter Basch,,false
baslandze_salome_01,Salome Baslandze,Salome Baslandze,,false
basri_withmchatib_01,with M. Chatib Basri,with M. Chatib Basri,,false
basu_k_01,K. Basu,K. Basu,,false
basu_suman_02,Suman Basu,Suman Basu,,false
bates_brandon_01,Brandon Bates,Brandon Bates,,false
bates_davidw_02,David W. Bates,David W. Bates,,false
battistin_erich_01,Erich Battistin,Erich Battistin,,false
baumgartner_erick_01,Erick Baumgartner,Erick Baumgartner,,false
bautista_mariaangelica_01,Maria Angelica Bautista,Maria Angelica Bautista,,false
